"STATION","NAME","DATE","TAVG","TMIN"
"KSM00047108","SEOUL CITY, KS","2020-01-01","30","20"
"KSM00047108","SEOUL CITY, KS","2020-01-02","33",
"KSM00047108","SEOUL CITY, KS","2020-01-03","32","26"
"KSM00047108","SEOUL CITY, KS","2020-01-04","34","27"
"KSM00047108","SEOUL CITY, KS","2020-01-05","36","26"
"KSM00047108","SEOUL CITY, KS","2020-01-06","39","33"
"KSM00047108","SEOUL CITY, KS","2020-01-07","43",
"KSM00047108","SEOUL CITY, KS","2020-01-08","34",
"KSM00047108","SEOUL CITY, KS","2020-01-09","29",
"KSM00047108","SEOUL CITY, KS","2020-01-10","32","24"
"KSM00047108","SEOUL CITY, KS","2020-01-11","33",
"KSM00047108","SEOUL CITY, KS","2020-01-12","29",
"KSM00047108","SEOUL CITY, KS","2020-01-13","27","24"
"KSM00047108","SEOUL CITY, KS","2020-01-14","28",
"KSM00047108","SEOUL CITY, KS","2020-01-15","28","20"
"KSM00047108","SEOUL CITY, KS","2020-01-16","29","22"
"KSM00047108","SEOUL CITY, KS","2020-01-17","31","23"
"KSM00047108","SEOUL CITY, KS","2020-01-18","34","25"
"KSM00047108","SEOUL CITY, KS","2020-01-19","35",
"KSM00047108","SEOUL CITY, KS","2020-01-20","31",
"KSM00047108","SEOUL CITY, KS","2020-01-21","33","22"
"KSM00047108","SEOUL CITY, KS","2020-01-22","38","32"
"KSM00047108","SEOUL CITY, KS","2020-01-23","40",
"KSM00047108","SEOUL CITY, KS","2020-01-24","37","30"
"KSM00047108","SEOUL CITY, KS","2020-01-25","40",
"KSM00047108","SEOUL CITY, KS","2020-01-26","44","32"
"KSM00047108","SEOUL CITY, KS","2020-01-27","42",
"KSM00047108","SEOUL CITY, KS","2020-01-28","44",
"KSM00047108","SEOUL CITY, KS","2020-01-29","42",
"KSM00047108","SEOUL CITY, KS","2020-01-30","41","35"
"KSM00047108","SEOUL CITY, KS","2020-01-31","38",
"KSM00047108","SEOUL CITY, KS","2020-02-01","36",
"KSM00047108","SEOUL CITY, KS","2020-02-02","35","28"
"KSM00047108","SEOUL CITY, KS","2020-02-03","29",
"KSM00047108","SEOUL CITY, KS","2020-02-04","29",
"KSM00047108","SEOUL CITY, KS","2020-02-05","16",
"KSM00047108","SEOUL CITY, KS","2020-02-06","23","11"
"KSM00047108","SEOUL CITY, KS","2020-02-07","31","19"
"KSM00047108","SEOUL CITY, KS","2020-02-08","30",
"KSM00047108","SEOUL CITY, KS","2020-02-09","33","22"
"KSM00047108","SEOUL CITY, KS","2020-02-10","39","31"
"KSM00047108","SEOUL CITY, KS","2020-02-11","47","31"
"KSM00047108","SEOUL CITY, KS","2020-02-12","45",
"KSM00047108","SEOUL CITY, KS","2020-02-13","43",
"KSM00047108","SEOUL CITY, KS","2020-02-14","48","38"
"KSM00047108","SEOUL CITY, KS","2020-02-15","47",
"KSM00047108","SEOUL CITY, KS","2020-02-16","27",
"KSM00047108","SEOUL CITY, KS","2020-02-17","20",
"KSM00047108","SEOUL CITY, KS","2020-02-18","26","17"
"KSM00047108","SEOUL CITY, KS","2020-02-19","36","24"
"KSM00047108","SEOUL CITY, KS","2020-02-20","41","31"
"KSM00047108","SEOUL CITY, KS","2020-02-21","45","36"
"KSM00047108","SEOUL CITY, KS","2020-02-22","36",
"KSM00047108","SEOUL CITY, KS","2020-02-23","38","27"
"KSM00047108","SEOUL CITY, KS","2020-02-24","47","33"
"KSM00047108","SEOUL CITY, KS","2020-02-25","43",
"KSM00047108","SEOUL CITY, KS","2020-02-26","43",
"KSM00047108","SEOUL CITY, KS","2020-02-27","44","34"
"KSM00047108","SEOUL CITY, KS","2020-02-28","40","39"
"KSM00047108","SEOUL CITY, KS","2020-02-29","45",
"KSM00047108","SEOUL CITY, KS","2020-03-01","41",
"KSM00047108","SEOUL CITY, KS","2020-03-02","38","32"
"KSM00047108","SEOUL CITY, KS","2020-03-03","42","33"
"KSM00047108","SEOUL CITY, KS","2020-03-04","33",
"KSM00047108","SEOUL CITY, KS","2020-03-05","35","27"
"KSM00047108","SEOUL CITY, KS","2020-03-06","40","27"
"KSM00047108","SEOUL CITY, KS","2020-03-07","45","34"
"KSM00047108","SEOUL CITY, KS","2020-03-08","50","36"
"KSM00047108","SEOUL CITY, KS","2020-03-09","53","41"
"KSM00047108","SEOUL CITY, KS","2020-03-10","40",
"KSM00047108","SEOUL CITY, KS","2020-03-11","39","32"
"KSM00047108","SEOUL CITY, KS","2020-03-12","46","32"
"KSM00047108","SEOUL CITY, KS","2020-03-13","37",
"KSM00047108","SEOUL CITY, KS","2020-03-14","41","27"
"KSM00047108","SEOUL CITY, KS","2020-03-15","38",
"KSM00047108","SEOUL CITY, KS","2020-03-16","41","28"
"KSM00047108","SEOUL CITY, KS","2020-03-17","44","38"
"KSM00047108","SEOUL CITY, KS","2020-03-18","53","37"
"KSM00047108","SEOUL CITY, KS","2020-03-19","45",
"KSM00047108","SEOUL CITY, KS","2020-03-20","50","38"
"KSM00047108","SEOUL CITY, KS","2020-03-21","55",
"KSM00047108","SEOUL CITY, KS","2020-03-22","51",
"KSM00047108","SEOUL CITY, KS","2020-03-23","51",
"KSM00047108","SEOUL CITY, KS","2020-03-24","53","42"
"KSM00047108","SEOUL CITY, KS","2020-03-25","55","43"
"KSM00047108","SEOUL CITY, KS","2020-03-26","60","47"
"KSM00047108","SEOUL CITY, KS","2020-03-27","50",
"KSM00047108","SEOUL CITY, KS","2020-03-28","44",
"KSM00047108","SEOUL CITY, KS","2020-03-29","49","34"
"KS000047112","INCHEON, KS","2020-01-01","32","22"
"KS000047112","INCHEON, KS","2020-01-02","35",
"KS000047112","INCHEON, KS","2020-01-03","34","28"
"KS000047112","INCHEON, KS","2020-01-04","35",
"KS000047112","INCHEON, KS","2020-01-05","36","29"
"KS000047112","INCHEON, KS","2020-01-06","40","34"
"KS000047112","INCHEON, KS","2020-01-07","42",
"KS000047112","INCHEON, KS","2020-01-08","34",
"KS000047112","INCHEON, KS","2020-01-09","29",
"KS000047112","INCHEON, KS","2020-01-10","32","26"
"KS000047112","INCHEON, KS","2020-01-11","32",
"KS000047112","INCHEON, KS","2020-01-12","30","27"
"KS000047112","INCHEON, KS","2020-01-13","28",
"KS000047112","INCHEON, KS","2020-01-14","28",
"KS000047112","INCHEON, KS","2020-01-15","29","22"
"KS000047112","INCHEON, KS","2020-01-16","29","24"
"KS000047112","INCHEON, KS","2020-01-17","31","25"
"KS000047112","INCHEON, KS","2020-01-18","35","27"
"KS000047112","INCHEON, KS","2020-01-19","37","34"
