"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"CHM00057494","WUHAN, CH","2020-01-01","41","44","34"
"CHM00057494","WUHAN, CH","2020-01-02","42","44",
"CHM00057494","WUHAN, CH","2020-01-03","43",,"41"
"CHM00057494","WUHAN, CH","2020-01-04","46","47","42"
"CHM00057494","WUHAN, CH","2020-01-05","47",,
"CHM00057494","WUHAN, CH","2020-01-06","40","49",
"CHM00057494","WUHAN, CH","2020-01-07","39","46","30"
"CHM00057494","WUHAN, CH","2020-01-08","37","46","29"
"CHM00057494","WUHAN, CH","2020-01-09","35","42",
"CHM00057494","WUHAN, CH","2020-01-10","37",,"34"
"CHM00057494","WUHAN, CH","2020-01-11","36","43","26"
"CHM00057494","WUHAN, CH","2020-01-12","37","49","26"
"CHM00057494","WUHAN, CH","2020-01-13","42","50","27"
"CHM00057494","WUHAN, CH","2020-01-14","42","50",
"CHM00057494","WUHAN, CH","2020-01-15","34","50","33"
"CHM00057494","WUHAN, CH","2020-01-16","35","38","32"
"CHM00057494","WUHAN, CH","2020-01-17","35",,"26"
"CHM00057494","WUHAN, CH","2020-01-18","39","45","26"
"CHM00057494","WUHAN, CH","2020-01-19","41","52","30"
"CHM00057494","WUHAN, CH","2020-01-20","46","55","29"
"CHM00057494","WUHAN, CH","2020-01-21","44","55","29"
"CHM00057494","WUHAN, CH","2020-01-22","42","46","39"
"CHM00057494","WUHAN, CH","2020-01-23","45",,"39"
"CHM00057494","WUHAN, CH","2020-01-24","43","47",
"CHM00057494","WUHAN, CH","2020-01-25","40","45","37"
"CHM00057494","WUHAN, CH","2020-01-26","38","42",
"CHM00057494","WUHAN, CH","2020-01-27","38","41","32"
"CHM00057494","WUHAN, CH","2020-01-28","38","47","28"
"CHM00057494","WUHAN, CH","2020-01-29","42","54","27"
"CHM00057494","WUHAN, CH","2020-01-30","43","57","28"
"CHM00057494","WUHAN, CH","2020-01-31","47","57","28"
"CHM00057494","WUHAN, CH","2020-02-01","50","57","32"
"CHM00057494","WUHAN, CH","2020-02-02","47","57","37"
"CHM00057494","WUHAN, CH","2020-02-03","46","57","32"
"CHM00057494","WUHAN, CH","2020-02-04","47","61","31"
"CHM00057494","WUHAN, CH","2020-02-05","48","61","33"
"CHM00057494","WUHAN, CH","2020-02-06","40","60","38"
"CHM00057494","WUHAN, CH","2020-02-07","41",,"38"
"CHM00057494","WUHAN, CH","2020-02-08","41","49","32"
"CHM00057494","WUHAN, CH","2020-02-09","47","58","30"
"CHM00057494","WUHAN, CH","2020-02-10","49","58","37"
"CHM00057494","WUHAN, CH","2020-02-11","51",,"46"
"CHM00057494","WUHAN, CH","2020-02-12","52","57","39"
"CHM00057494","WUHAN, CH","2020-02-13","59","66","39"
"CHM00057494","WUHAN, CH","2020-02-14","52","66",
"CHM00057494","WUHAN, CH","2020-02-15","33","62","30"
"CHM00057494","WUHAN, CH","2020-02-16","38","47","29"
"CHM00057494","WUHAN, CH","2020-02-17","43","55","27"
"CHM00057494","WUHAN, CH","2020-02-18","50",,"27"
"CHM00057494","WUHAN, CH","2020-02-19","49","59","33"
"CHM00057494","WUHAN, CH","2020-02-20","54","64","33"
"CHM00057494","WUHAN, CH","2020-02-21","51","64","38"
"CHM00057494","WUHAN, CH","2020-02-22","56","64","37"
"CHM00057494","WUHAN, CH","2020-02-23","62","68","51"
"CHM00057494","WUHAN, CH","2020-02-24","67","77","51"
"CHM00057494","WUHAN, CH","2020-02-25","59","77",
"CHM00057494","WUHAN, CH","2020-02-26","54","73",
"CHM00057494","WUHAN, CH","2020-02-27","47","58",
"CHM00057494","WUHAN, CH","2020-02-28","43","52",
"CHM00057494","WUHAN, CH","2020-02-29","48","56","39"
"CHM00057494","WUHAN, CH","2020-03-01","50","57","39"
"CHM00057494","WUHAN, CH","2020-03-02","45","57","40"
"CHM00057494","WUHAN, CH","2020-03-03","46","51","39"
"CHM00057494","WUHAN, CH","2020-03-04","51","60","40"
"CHM00057494","WUHAN, CH","2020-03-05","55","62","40"
"CHM00057494","WUHAN, CH","2020-03-06","55","62","48"
"CHM00057494","WUHAN, CH","2020-03-07","59","67","51"
"CHM00057494","WUHAN, CH","2020-03-08","59","67","51"
"CHM00057494","WUHAN, CH","2020-03-09","51","66",
"CHM00057494","WUHAN, CH","2020-03-10","53","64","38"
"CHM00057494","WUHAN, CH","2020-03-11","57","67","41"
"CHM00057494","WUHAN, CH","2020-03-12","55","67","46"
"CHM00057494","WUHAN, CH","2020-03-13","51","64","40"
"CHM00057494","WUHAN, CH","2020-03-14","53","67","38"
"CHM00057494","WUHAN, CH","2020-03-15","62","72","41"
"CHM00057494","WUHAN, CH","2020-03-16","59","72","46"
"CHM00057494","WUHAN, CH","2020-03-17","62","75","46"
"CHM00057494","WUHAN, CH","2020-03-18","62","76","47"
"CHM00057494","WUHAN, CH","2020-03-19","65",,"47"
"CHM00057494","WUHAN, CH","2020-03-20","71","81","48"
"CHM00057494","WUHAN, CH","2020-03-21","68","81","56"
"CHM00057494","WUHAN, CH","2020-03-22","64","74","55"
"CHM00057494","WUHAN, CH","2020-03-23","66","75","55"
"CHM00057494","WUHAN, CH","2020-03-24","68","75","60"
"CHM00057494","WUHAN, CH","2020-03-25","68","72","64"
"CHM00057494","WUHAN, CH","2020-03-26","61","78",
"CHM00057494","WUHAN, CH","2020-03-27","44",,
"CHM00057494","WUHAN, CH","2020-03-28","47",,
"CHM00057494","WUHAN, CH","2020-03-29","45",,
